# n V_n V_n/n^2 (n+1)/(2n)
92 3986.282307365 0.470969082 0.505434783
93 4072.645103962 0.470880461 0.505376344
94 4159.932805509 0.470793663 0.505319149
95 4248.145407669 0.470708632 0.505263158
96 4337.282906213 0.470625315 0.505208333
97 4427.345297012 0.470543660 0.505154639
98 4518.332576034 0.470463617 0.505102041
99 4610.244739345 0.470385138 0.505050505
100 4703.081783102 0.470308178 0.505000000
101 4796.843703550 0.470232693 0.504950495
102 4891.530497021 0.470158641 0.504901961
103 4987.142159931 0.470085980 0.504854369
104 5083.678688775 0.470014672 0.504807692
105 5181.140080127 0.469944678 0.504761905
106 5279.526330637 0.469875964 0.504716981
107 5378.837437026 0.469808493 0.504672897
108 5479.073396088 0.469742232 0.504629630
109 5580.234204686 0.469677149 0.504587156
110 5682.319859748 0.469613212 0.504545455
111 5785.330358268 0.469550390 0.504504505
112 5889.265697303 0.469488656 0.504464286
113 5994.125873969 0.469427980 0.504424779
114 6099.910885444 0.469368335 0.504385965
115 6206.620728961 0.469309696 0.504347826
116 6314.255401809 0.469252036 0.504310345
117 6422.814901332 0.469195332 0.504273504
118 6532.299224927 0.469139559 0.504237288
119 6642.708370041 0.469084695 0.504201681
120 6754.042334171 0.469030718 0.504166667
121 6866.301114863 0.468977605 0.504132231
122 6979.484709710 0.468925337 0.504098361
123 7093.593116350 0.468873892 0.504065041
124 7208.626332466 0.468823253 0.504032258
125 7324.584355784 0.468773399 0.504000000
126 7441.467184072 0.468724312 0.503968254
127 7559.274815141 0.468675976 0.503937008
128 7678.007246840 0.468628372 0.503906250
129 7797.664477057 0.468581484 0.503875969
130 7918.246503718 0.468535296 0.503846154
131 8039.753324789 0.468489792 0.503816794
132 8162.184938267 0.468444957 0.503787879
133 8285.541342188 0.468400777 0.503759398
134 8409.822534621 0.468357236 0.503731343
135 8535.028513668 0.468314322 0.503703704
136 8661.159277465 0.468272020 0.503676471
137 8788.214824178 0.468230317 0.503649635
138 8916.195152006 0.468189201 0.503623188
139 9045.100259177 0.468148660 0.503597122
140 9174.930143949 0.468108681 0.503571429
141 9305.684804609 0.468069252 0.503546099
142 9437.364239471 0.468030363 0.503521127
143 9569.968446879 0.467992002 0.503496503
144 9703.497425202 0.467954158 0.503472222
145 9837.951172837 0.467916822 0.503448276
146 9973.329688203 0.467879982 0.503424658
147 10109.632969749 0.467843629 0.503401361
148 10246.861015945 0.467807753 0.503378378
149 10385.013825287 0.467772345 0.503355705
150 10524.091396293 0.467737395 0.503333333
151 10664.093727506 0.467702896 0.503311258
152 10805.020817488 0.467668837 0.503289474
153 10946.872664827 0.467635211 0.503267974
154 11089.649268129 0.467602010 0.503246753
155 11233.350626023 0.467569225 0.503225806
156 11377.976737159 0.467536848 0.503205128
157 11523.527600206 0.467504872 0.503184713
158 11670.003213852 0.467473290 0.503164557
159 11817.403576806 0.467442094 0.503144654
160 11965.728687795 0.467411277 0.503125000
161 12114.978545565 0.467380832 0.503105590
162 12265.153148879 0.467350753 0.503086420
163 12416.252496519 0.467321032 0.503067485
164 12568.276587284 0.467291664 0.503048780
165 12721.225419990 0.467262642 0.503030303
166 12875.098993470 0.467233960 0.503012048
167 13029.897306572 0.467205612 0.502994012
168 13185.620358162 0.467177592 0.502976190
169 13342.268147120 0.467149895 0.502958580
170 13499.840672343 0.467122515 0.502941176
171 13658.337932742 0.467095446 0.502923977
172 13817.759927242 0.467068683 0.502906977
173 13978.106654786 0.467042222 0.502890173
174 14139.378114327 0.467016056 0.502873563
175 14301.574304834 0.466990181 0.502857143
176 14464.695225291 0.466964593 0.502840909
177 14628.740874693 0.466939285 0.502824859
178 14793.711252049 0.466914255 0.502808989
179 14959.606356383 0.466889496 0.502793296
180 15126.426186727 0.466865006 0.502777778
181 15294.170742132 0.466840778 0.502762431
182 15462.840021655 0.466816810 0.502747253
183 15632.434024368 0.466793097 0.502732240
184 15802.952749356 0.466769635 0.502717391
185 15974.396195714 0.466746419 0.502702703
186 16146.764362547 0.466723447 0.502688172
187 16320.057248975 0.466700713 0.502673797
188 16494.274854125 0.466678216 0.502659574
189 16669.417177137 0.466655950 0.502645503
190 16845.484217162 0.466633912 0.502631579
191 17022.475973359 0.466612099 0.502617801
192 17200.392444901 0.466590507 0.502604167
193 17379.233630968 0.466569133 0.502590674
194 17558.999530750 0.466547974 0.502577320
195 17739.690143448 0.466527025 0.502564103
196 17921.305468273 0.466506286 0.502551020
197 18103.845504444 0.466485751 0.502538071
198 18287.310251190 0.466465418 0.502525253
199 18471.699707748 0.466445284 0.502512563
200 18657.013873366 0.466425347 0.502500000
201 18843.252747298 0.466405603 0.502487562
202 19030.416328810 0.466386049 0.502475248
203 19218.504617174 0.466366682 0.502463054
204 19407.517611671 0.466347501 0.502450980
205 19597.455311590 0.466328502 0.502439024
206 19788.317716230 0.466309683 0.502427184
207 19980.104824894 0.466291041 0.502415459
208 20172.816636897 0.466272574 0.502403846
209 20366.453151560 0.466254279 0.502392344
210 20561.014368210 0.466236153 0.502380952
211 20756.500286184 0.466218196 0.502369668
212 20952.910904826 0.466200403 0.502358491
213 21150.246223485 0.466182773 0.502347418
214 21348.506241520 0.466165304 0.502336449
215 21547.690958296 0.466147993 0.502325581
216 21747.800373183 0.466130838 0.502314815
217 21948.834485561 0.466113837 0.502304147
218 22150.793294814 0.466096989 0.502293578
219 22353.676800335 0.466080290 0.502283105
220 22557.485001521 0.466063740 0.502272727
221 22762.217897777 0.466047335 0.502262443
222 22967.875488514 0.466031075 0.502252252
223 23174.457773150 0.466014957 0.502242152
224 23381.964751107 0.465998979 0.502232143
225 23590.396421814 0.465983139 0.502222222
226 23799.752784708 0.465967436 0.502212389
227 24010.033839228 0.465951869 0.502202643
228 24221.239584822 0.465936434 0.502192982
229 24433.370020943 0.465921131 0.502183406
230 24646.425147048 0.465905957 0.502173913
231 24860.404962601 0.465890912 0.502164502
232 25075.309467071 0.465875993 0.502155172
233 25291.138659932 0.465861200 0.502145923
234 25507.892540665 0.465846529 0.502136752
235 25725.571108754 0.465831980 0.502127660
236 25944.174363688 0.465817552 0.502118644
237 26163.702304964 0.465803242 0.502109705
238 26384.154932082 0.465789050 0.502100840
239 26605.532244546 0.465774973 0.502092050
240 26827.834241865 0.465761011 0.502083333
241 27051.060923556 0.465747162 0.502074689
242 27275.212289137 0.465733425 0.502066116
243 27500.288338133 0.465719798 0.502057613
244 27726.289070071 0.465706280 0.502049180
245 27953.214484486 0.465692869 0.502040816
246 28181.064580914 0.465679565 0.502032520
247 28409.839358898 0.465666367 0.502024291
248 28639.538817984 0.465653272 0.502016129
249 28870.162957723 0.465640279 0.502008032
250 29101.711777670 0.465627388 0.502000000
251 29334.185277384 0.465614598 0.501992032
252 29567.583456428 0.465601906 0.501984127
253 29801.906314369 0.465589313 0.501976285
254 30037.153850779 0.465576816 0.501968504
255 30273.326065233 0.465564415 0.501960784
256 30510.422957311 0.465552108 0.501953125
257 30748.444526594 0.465539895 0.501945525
258 30987.390772670 0.465527774 0.501937984
259 31227.261695131 0.465515745 0.501930502
260 31468.057293569 0.465503806 0.501923077
261 31709.777567583 0.465491956 0.501915709
262 31952.422516774 0.465480195 0.501908397
263 32195.992140749 0.465468521 0.501901141
264 32440.486439115 0.465456934 0.501893939
265 32685.905411484 0.465445431 0.501886792
266 32932.249057473 0.465434013 0.501879699
267 33179.517376701 0.465422679 0.501872659
268 33427.710368789 0.465411428 0.501865672
269 33676.828033363 0.465400258 0.501858736
270 33926.870370054 0.465389168 0.501851852
271 34177.837378492 0.465378159 0.501845018
272 34429.729058313 0.465367229 0.501838235
273 34682.545409156 0.465356377 0.501831502
274 34936.286430662 0.465345602 0.501824818
275 35190.952122476 0.465334904 0.501818182
276 35446.542484247 0.465324282 0.501811594
277 35703.057515625 0.465313734 0.501805054
278 35960.497216263 0.465303261 0.501798561
279 36218.861585820 0.465292861 0.501792115
280 36478.150623953 0.465282533 0.501785714
281 36738.364330326 0.465272278 0.501779359
282 36999.502704605 0.465262093 0.501773050
283 37261.565746457 0.465251979 0.501766784
284 37524.553455553 0.465241934 0.501760563
285 37788.465831568 0.465231959 0.501754386
286 38053.302874177 0.465222051 0.501748252
287 38319.064583060 0.465212211 0.501742160
288 38585.750957898 0.465202437 0.501736111
289 38853.361998376 0.465192730 0.501730104
290 39121.897704181 0.465183088 0.501724138
291 39391.358075003 0.465173511 0.501718213
292 39661.743110534 0.465163998 0.501712329
293 39933.052810467 0.465154548 0.501706485
294 40205.287174501 0.465145161 0.501700680
295 40478.446202335 0.465135837 0.501694915
296 40752.529893671 0.465126574 0.501689189
297 41027.538248213 0.465117372 0.501683502
298 41303.471265668 0.465108230 0.501677852
299 41580.328945745 0.465099148 0.501672241
300 41858.111288156 0.465090125 0.501666667
301 42136.818292614 0.465081161 0.501661130
302 42416.449958835 0.465072255 0.501655629
303 42697.006286538 0.465063406 0.501650165
304 42978.487275443 0.465054615 0.501644737
305 43260.892925272 0.465045879 0.501639344
306 43544.223235751 0.465037200 0.501633987
307 43828.478206606 0.465028575 0.501628664
308 44113.657837567 0.465020006 0.501623377
309 44399.762128365 0.465011491 0.501618123
310 44686.791078733 0.465003029 0.501612903
311 44974.744688406 0.464994620 0.501607717
312 45263.622957122 0.464986265 0.501602564
313 45553.425884620 0.464977961 0.501597444
314 45844.153470641 0.464969709 0.501592357
315 46135.805714929 0.464961509 0.501587302
316 46428.382617229 0.464953359 0.501582278
317 46721.884177289 0.464945259 0.501577287
318 47016.310394856 0.464937210 0.501572327
319 47311.661269683 0.464929209 0.501567398
320 47607.936801521 0.464921258 0.501562500
321 47905.136990126 0.464913355 0.501557632
322 48203.261835254 0.464905500 0.501552795
323 48502.311336663 0.464897692 0.501547988
324 48802.285494112 0.464889932 0.501543210
325 49103.184307365 0.464882218 0.501538462
326 49405.007776183 0.464874551 0.501533742
327 49707.755900332 0.464866929 0.501529052
328 50011.428679579 0.464859353 0.501524390
329 50316.026113692 0.464851822 0.501519757
330 50621.548202441 0.464844336 0.501515152
331 50927.994945598 0.464836894 0.501510574
332 51235.366342936 0.464829496 0.501506024
333 51543.662394230 0.464822141 0.501501502
334 51852.883099256 0.464814829 0.501497006
335 52163.028457792 0.464807560 0.501492537
336 52474.098469617 0.464800334 0.501488095
337 52786.093134513 0.464793149 0.501483680
338 53099.012452261 0.464786006 0.501479290
339 53412.856422645 0.464778904 0.501474926
340 53727.625045451 0.464771843 0.501470588
341 54043.318320465 0.464764822 0.501466276
342 54359.936247475 0.464757842 0.501461988
343 54677.478826271 0.464750902 0.501457726
344 54995.946056644 0.464744001 0.501453488
345 55315.337938384 0.464737139 0.501449275
346 55635.654471287 0.464730316 0.501445087
347 55956.895655147 0.464723531 0.501440922
348 56279.061489759 0.464716785 0.501436782
349 56602.151974921 0.464710076 0.501432665
350 56926.167110433 0.464703405 0.501428571
351 57251.106896093 0.464696771 0.501424501
352 57576.971331702 0.464690174 0.501420455
353 57903.760417064 0.464683614 0.501416431
354 58231.474151982 0.464677090 0.501412429
355 58560.112536260 0.464670601 0.501408451
356 58889.675569704 0.464664149 0.501404494
357 59220.163252122 0.464657732 0.501400560
358 59551.575583322 0.464651350 0.501396648
359 59883.912563113 0.464645002 0.501392758
360 60217.174191306 0.464638690 0.501388889
361 60551.360467712 0.464632411 0.501385042
362 60886.471392146 0.464626167 0.501381215
363 61222.506964419 0.464619956 0.501377410
364 61559.467184348 0.464613778 0.501373626
365 61897.352051749 0.464607634 0.501369863
366 62236.161566440 0.464601523 0.501366120
367 62575.895728238 0.464595444 0.501362398
368 62916.554536963 0.464589397 0.501358696
369 63258.137992435 0.464583383 0.501355014
370 63600.646094477 0.464577400 0.501351351
371 63944.078842911 0.464571449 0.501347709
372 64288.436237561 0.464565530 0.501344086
373 64633.718278252 0.464559641 0.501340483
374 64979.924964809 0.464553783 0.501336898
375 65327.056297060 0.464547956 0.501333333
376 65675.112274833 0.464542159 0.501329787
377 66024.092897957 0.464536392 0.501326260
378 66373.998166262 0.464530655 0.501322751
379 66724.828079579 0.464524948 0.501319261
380 67076.582637741 0.464519270 0.501315789
381 67429.261840581 0.464513622 0.501312336
382 67782.865687934 0.464508002 0.501308901
383 68137.394179635 0.464502411 0.501305483
384 68492.847315521 0.464496849 0.501302083
385 68849.225095428 0.464491315 0.501298701
386 69206.527519198 0.464485808 0.501295337
387 69564.754586668 0.464480330 0.501291990
388 69923.906297680 0.464474880 0.501288660
389 70283.982652076 0.464469457 0.501285347
390 70644.983649699 0.464464061 0.501282051
391 71006.909290393 0.464458692 0.501278772
392 71369.759574004 0.464453350 0.501275510
393 71733.534500377 0.464448035 0.501272265
394 72098.234069361 0.464442746 0.501269036
395 72463.858280804 0.464437483 0.501265823
396 72830.407134556 0.464432246 0.501262626
397 73197.880630468 0.464427035 0.501259446
398 73566.278768392 0.464421850 0.501256281
399 73935.601548181 0.464416691 0.501253133
400 74305.848969689 0.464411556 0.501250000
401 74677.021032771 0.464406447 0.501246883
402 75049.117737286 0.464401362 0.501243781
403 75422.139083090 0.464396302 0.501240695
404 75796.085070042 0.464391267 0.501237624
405 76170.955698003 0.464386256 0.501234568
406 76546.750966834 0.464381270 0.501231527
407 76923.470876397 0.464376307 0.501228501
408 77301.115426557 0.464371368 0.501225490
409 77679.684617178 0.464366453 0.501222494
410 78059.178448127 0.464361561 0.501219512
411 78439.596919271 0.464356693 0.501216545
412 78820.940030479 0.464351848 0.501213592
413 79203.207781621 0.464347025 0.501210654
414 79586.400172567 0.464342226 0.501207729
415 79970.517203190 0.464337449 0.501204819
416 80355.558873365 0.464332695 0.501201923
417 80741.525182965 0.464327963 0.501199041
418 81128.416131867 0.464323253 0.501196172
419 81516.231719949 0.464318566 0.501193317
420 81904.971947088 0.464313900 0.501190476
421 82294.636813165 0.464309256 0.501187648
422 82685.226318062 0.464304633 0.501184834
423 83076.740461660 0.464300032 0.501182033
424 83469.179243844 0.464295452 0.501179245
425 83862.542664498 0.464290894 0.501176471
426 84256.830723508 0.464286356 0.501173709
427 84652.043420763 0.464281839 0.501170960
428 85048.180756151 0.464277343 0.501168224
429 85445.242729562 0.464272867 0.501165501
430 85843.229340887 0.464268412 0.501162791
431 86242.140590019 0.464263977 0.501160093
432 86641.976476853 0.464259562 0.501157407
433 87042.737001283 0.464255167 0.501154734
434 87444.422163205 0.464250792 0.501152074
435 87847.031962517 0.464246437 0.501149425
436 88250.566399118 0.464242101 0.501146789
437 88655.025472909 0.464237785 0.501144165
438 89060.409183790 0.464233488 0.501141553
439 89466.717531664 0.464229210 0.501138952
440 89873.950516434 0.464224951 0.501136364
441 90282.108138007 0.464220711 0.501133787
442 90691.190396287 0.464216490 0.501131222
443 91101.197291183 0.464212288 0.501128668
444 91512.128822603 0.464208104 0.501126126
445 91923.984990456 0.464203939 0.501123596
446 92336.765794653 0.464199792 0.501121076
447 92750.471235106 0.464195663 0.501118568
448 93165.101311729 0.464191552 0.501116071
449 93580.656024435 0.464187460 0.501113586
450 93997.135373140 0.464183385 0.501111111
451 94414.539357759 0.464179327 0.501108647
452 94832.867978211 0.464175288 0.501106195
453 95252.121234414 0.464171266 0.501103753
454 95672.299126286 0.464167261 0.501101322
455 96093.401653750 0.464163273 0.501098901
456 96515.428816725 0.464159303 0.501096491
457 96938.380615134 0.464155350 0.501094092
458 97362.257048901 0.464151413 0.501091703
459 97787.058117950 0.464147494 0.501089325
460 98212.783822205 0.464143591 0.501086957
461 98639.434161593 0.464139705 0.501084599
462 99067.009136041 0.464135835 0.501082251
463 99495.508745475 0.464131982 0.501079914
464 99924.932989825 0.464128144 0.501077586
465 100355.281869020 0.464124324 0.501075269
466 100786.555382989 0.464120519 0.501072961
467 101218.753531663 0.464116730 0.501070664
468 101651.876314973 0.464112957 0.501068376
469 102085.923732852 0.464109200 0.501066098
470 102520.895785232 0.464105459 0.501063830
471 102956.792472045 0.464101733 0.501061571
472 103393.613793227 0.464098022 0.501059322
473 103831.359748710 0.464094327 0.501057082
474 104270.030338431 0.464090648 0.501054852
475 104709.625562323 0.464086983 0.501052632
476 105150.145420324 0.464083334 0.501050420
477 105591.589912368 0.464079699 0.501048218
478 106033.959038393 0.464076080 0.501046025
479 106477.252798335 0.464072475 0.501043841
480 106921.471192132 0.464068885 0.501041667
481 107366.614219720 0.464065310 0.501039501
482 107812.681881038 0.464061749 0.501037344
483 108259.674176024 0.464058203 0.501035197
484 108707.591104616 0.464054671 0.501033058
485 109156.432666752 0.464051154 0.501030928
486 109606.198862370 0.464047651 0.501028807
487 110056.889691409 0.464044161 0.501026694
488 110508.505153807 0.464040686 0.501024590
489 110961.045249503 0.464037225 0.501022495
490 111414.509978435 0.464033778 0.501020408
491 111868.899340542 0.464030344 0.501018330
492 112324.213335763 0.464026924 0.501016260
493 112780.451964034 0.464023518 0.501014199
494 113237.615225295 0.464020125 0.501012146
495 113695.703119483 0.464016746 0.501010101
496 114154.715646536 0.464013380 0.501008065
497 114614.652806391 0.464010027 0.501006036
498 115075.514598985 0.464006688 0.501004016
499 115537.301024255 0.464003362 0.501002004
500 116000.012082137 0.464000048 0.501000000
501 116463.647772567 0.463996748 0.500998004
502 116928.208095480 0.463993461 0.500996016
503 117393.693050812 0.463990186 0.500994036
504 117860.102638497 0.463986925 0.500992063
505 118327.436858469 0.463983676 0.500990099
506 118795.695710661 0.463980439 0.500988142
507 119264.879195005 0.463977215 0.500986193
508 119734.987311435 0.463974004 0.500984252
509 120206.020059881 0.463970805 0.500982318
510 120677.977440274 0.463967618 0.500980392
511 121150.859452544 0.463964444 0.500978474
512 121624.666096619 0.463961281 0.500976562
513 122099.397372430 0.463958131 0.500974659
514 122575.053279902 0.463954993 0.500972763
515 123051.633818963 0.463951867 0.500970874
516 123529.138989538 0.463948752 0.500968992
517 124007.568791552 0.463945650 0.500967118
518 124486.923224928 0.463942559 0.500965251
519 124967.202289591 0.463939480 0.500963391
520 125448.405985461 0.463936413 0.500961538
521 125930.534312460 0.463933357 0.500959693
522 126413.587270507 0.463930312 0.500957854
523 126897.564859520 0.463927280 0.500956023
524 127382.467079418 0.463924258 0.500954198
525 127868.293930116 0.463921248 0.500952381
526 128355.045411530 0.463918249 0.500950570
527 128842.721523573 0.463915261 0.500948767
528 129331.322266159 0.463912284 0.500946970
529 129820.847639199 0.463909319 0.500945180
530 130311.297642604 0.463906364 0.500943396
531 130802.672276281 0.463903420 0.500941620
532 131294.971540140 0.463900487 0.500939850
533 131788.195434086 0.463897565 0.500938086
534 132282.343958023 0.463894654 0.500936330
535 132777.417111857 0.463891753 0.500934579
536 133273.414895489 0.463888863 0.500932836
537 133770.337308819 0.463885984 0.500931099
538 134268.184351748 0.463883115 0.500929368
539 134766.956024174 0.463880257 0.500927644
540 135266.652325992 0.463877409 0.500925926
541 135767.273257098 0.463874571 0.500924214
542 136268.818817385 0.463871743 0.500922509
543 136771.289006747 0.463868926 0.500920810
544 137274.683825072 0.463866119 0.500919118
545 137779.003272251 0.463863322 0.500917431
546 138284.247348171 0.463860535 0.500915751
547 138790.416052718 0.463857758 0.500914077
548 139297.509385777 0.463854992 0.500912409
549 139805.527347231 0.463852235 0.500910747
550 140314.469936960 0.463849487 0.500909091
551 140824.337154846 0.463846750 0.500907441
552 141335.129000766 0.463844022 0.500905797
553 141846.845474598 0.463841304 0.500904159
554 142359.486576215 0.463838596 0.500902527
555 142873.052305493 0.463835897 0.500900901
556 143387.542662303 0.463833208 0.500899281
557 143902.957646515 0.463830529 0.500897666
558 144419.297257999 0.463827858 0.500896057
559 144936.561496622 0.463825197 0.500894454
560 145454.750362250 0.463822546 0.500892857
561 145973.863854746 0.463819904 0.500891266
562 146493.901973975 0.463817270 0.500889680
563 147014.864719796 0.463814647 0.500888099
564 147536.752092069 0.463812032 0.500886525
565 148059.564090653 0.463809426 0.500884956
566 148583.300715403 0.463806830 0.500883392
567 149107.961966176 0.463804242 0.500881834
568 149633.547842824 0.463801663 0.500880282
569 150160.058345199 0.463799094 0.500878735
570 150687.493473151 0.463796533 0.500877193
571 151215.853226530 0.463793981 0.500875657
572 151745.137605183 0.463791437 0.500874126
573 152275.346608956 0.463788903 0.500872600
574 152806.480237694 0.463786377 0.500871080
575 153338.538491239 0.463783859 0.500869565
576 153871.521369433 0.463781351 0.500868056
577 154405.428872118 0.463778850 0.500866551
578 154940.260999130 0.463776359 0.500865052
579 155476.017750309 0.463773875 0.500863558
580 156012.699125489 0.463771400 0.500862069
581 156550.305124507 0.463768934 0.500860585
582 157088.835747195 0.463766476 0.500859107
583 157628.290993385 0.463764026 0.500857633
584 158168.670862910 0.463761584 0.500856164
585 158709.975355597 0.463759151 0.500854701
586 159252.204471276 0.463756725 0.500853242
587 159795.358209774 0.463754308 0.500851789
588 160339.436570917 0.463751899 0.500850340
589 160884.439554529 0.463749498 0.500848896
590 161430.367160435 0.463747105 0.500847458
591 161977.219388458 0.463744720 0.500846024
592 162524.996238418 0.463742342 0.500844595
593 163073.697710136 0.463739973 0.500843170
594 163623.323803432 0.463737611 0.500841751
595 164173.874518124 0.463735257 0.500840336
596 164725.349854029 0.463732911 0.500838926
597 165277.749810965 0.463730573 0.500837521
598 165831.074388747 0.463728242 0.500836120
599 166385.323587189 0.463725919 0.500834725
600 166940.497406106 0.463723604 0.500833333
601 167496.595845310 0.463721296 0.500831947
602 168053.618904613 0.463718996 0.500830565
603 168611.566583829 0.463716703 0.500829187
604 169170.438882766 0.463714417 0.500827815
605 169730.235801236 0.463712139 0.500826446
606 170290.957339047 0.463709869 0.500825083
607 170852.603496009 0.463707605 0.500823723
608 171415.174271930 0.463705349 0.500822368
609 171978.669666617 0.463703101 0.500821018
610 172543.089679877 0.463700859 0.500819672
611 173108.434311518 0.463698625 0.500818331
612 173674.703561345 0.463696398 0.500816993
613 174241.897429165 0.463694178 0.500815661
614 174810.015914783 0.463691965 0.500814332
615 175379.059018004 0.463689759 0.500813008
616 175949.026738632 0.463687560 0.500811688
617 176519.919076473 0.463685368 0.500810373
618 177091.736031330 0.463683183 0.500809061
619 177664.477603008 0.463681005 0.500807754
620 178238.143791312 0.463678834 0.500806452
621 178812.734596043 0.463676670 0.500805153
622 179388.250017008 0.463674512 0.500803859
623 179964.690054009 0.463672362 0.500802568
624 180542.054706850 0.463670218 0.500801282
625 181120.343975336 0.463668081 0.500800000
626 181699.557859269 0.463665950 0.500798722
627 182279.696358455 0.463663826 0.500797448
628 182860.759472698 0.463661709 0.500796178
629 183442.747201801 0.463659598 0.500794913
630 184025.659545571 0.463657494 0.500793651
631 184609.496503811 0.463655397 0.500792393
632 185194.258076327 0.463653306 0.500791139
633 185779.944262926 0.463651221 0.500789889
634 186366.555063412 0.463649143 0.500788644
635 186954.090477594 0.463647072 0.500787402
636 187542.550505278 0.463645006 0.500786164
637 188131.935146271 0.463642947 0.500784929
638 188722.244400382 0.463640895 0.500783699
639 189313.478267421 0.463638849 0.500782473
640 189905.636747195 0.463636808 0.500781250
641 190498.719839517 0.463634775 0.500780031
642 191092.727544196 0.463632747 0.500778816
643 191687.659861044 0.463630726 0.500777605
644 192283.516789875 0.463628710 0.500776398
645 192880.298330502 0.463626701 0.500775194
646 193478.004482738 0.463624698 0.500773994
647 194076.635246400 0.463622701 0.500772798
648 194676.190621304 0.463620710 0.500771605
649 195276.670607268 0.463618725 0.500770416
650 195878.075204109 0.463616746 0.500769231
651 196480.404411648 0.463614773 0.500768049
652 197083.658229704 0.463612806 0.500766871
653 197687.836658101 0.463610845 0.500765697
654 198292.939696662 0.463608889 0.500764526
655 198898.967345210 0.463606940 0.500763359
656 199505.919603572 0.463604996 0.500762195
657 200113.796471575 0.463603058 0.500761035
658 200722.597949046 0.463601126 0.500759878
659 201332.324035818 0.463599200 0.500758725
660 201942.974731720 0.463597279 0.500757576
661 202554.550036586 0.463595364 0.500756430
662 203167.049950251 0.463593455 0.500755287
663 203780.474472549 0.463591551 0.500754148
664 204394.823603321 0.463589653 0.500753012
665 205010.097342404 0.463587760 0.500751880
666 205626.295689639 0.463585873 0.500750751
